Accession Individual Species Genus                                
AJ634569.1 "Acer barbinerve" "Acer barbinerve" Acer                                
AM265514.1 "Acer buergerianum" "Acer buergerianum" Acer                                
AY605294.1 "Acer caesium 1" "Acer caesium " Acer                                
DQ366115.1 "Acer caesium 2" "Acer caesium " Acer                                
DQ366118.1 "Acer caesium 3" "Acer caesium " Acer                                
AB013682.1 "Adiantum capillus-veneris" "Adiantum capillus-veneris" Adiantum                                
MF963912.1 "Adiantum jordanii" "Adiantum jordanii" Adiantum                                
XM_025438258.1 "Canis lupus" "Canis lupus" Canis                                
XM_003981125.3 "Felis catus 1" "Felis catus " Felis                                
XM_006934579.4 "Felis catus 2" "Felis catus " Felis                                
XM_006942054.3 "Felis catus 3" "Felis catus " Felis                                
GU198997.1 "Malus x domestica" "Malus x domestica" Malus                                
AY856868.1 "Oncorhynchus masou 1" "Oncorhynchus masou " Oncorhynchus                                
HQ260448.2 "Oncorhynchus tshawytscha" "Oncorhynchus tshawytscha" Oncorhynchus                                
HQ260444.1 "Oncorhynchus kisutch" "Oncorhynchus kisutch" Oncorhynchus                                
AF243429.1 "Oncorhynchus masou 2" "Oncorhynchus masou " Oncorhynchus                                
HQ260446.1 "Oncorhynchus gorbuscha" "Oncorhynchus gorbuscha" Oncorhynchus                                
AJ315140.1 "Oncorhynchus mykiss" "Oncorhynchus mykiss" Oncorhynchus                                
JQ898100.1 "Physarum albescens" "Physarum albescens" Physarum                                
JQ898101.1 "Physarum alpestre" "Physarum alpestre" Physarum                                
JQ898102.1 "Physarum compressum" "Physarum compressum" Physarum                                
KC473814.1 "Physarum leucophaeum" "Physarum leucophaeum" Physarum                                
EF536360.1 "Pinus armandii" "Pinus armandii" Pinus                                
AY430062.1 "Pinus kwangtungensis" "Pinus kwangtungensis" Pinus                                
AL750461.1 "Pinus pinaster" "Pinus pinaster" Pinus                                
AY430054.1 "Pinus pumila" "Pinus pumila" Pinus                                
AY430055.1 "Pinus wangii" "Pinus wangii" Pinus                                
AF079582.1 "Pleurotus cornucopiae" "Pleurotus cornucopiae" Pleurotus                                
AB115040.1 "Pleurotus ostreatus" "Pleurotus ostreatus" Pleurotus                                
FM243824.1 "Quercus afares 1" "Quercus afares " Quercus                                
FM243821.1 "Quercus afares 2" "Quercus afares " Quercus                                
FM243820.1 "Quercus afares 3" "Quercus afares " Quercus                                
FM243819.1 "Quercus afares 4" "Quercus afares " Quercus                                
FM243817.1 "Quercus afares 5" "Quercus afares " Quercus                                
EU646136.1 "Quercus alba" "Quercus alba" Quercus                                
FM244275.1 "Quercus alnifolia 1" "Quercus alnifolia " Quercus                                
FM244276.1 "Quercus alnifolia 2" "Quercus alnifolia " Quercus                                
FM244277.1 "Quercus alnifolia 3" "Quercus alnifolia " Quercus                                
FM244278.1 "Quercus alnifolia 4" "Quercus alnifolia " Quercus                                
FM244279.1 "Quercus alnifolia 5" "Quercus alnifolia " Quercus                                
KM200955.1 "Quercus arizonica" "Quercus arizonica" Quercus                                
FM244282.1 "Quercus aucheri 1" "Quercus aucheri " Quercus                                
FM244285.1 "Quercus aucheri 2" "Quercus aucheri " Quercus                                
FM244289.1 "Quercus aucheri 3" "Quercus aucheri " Quercus                                
FM244293.1 "Quercus aucheri 4" "Quercus aucheri " Quercus                                
FM244296.1 "Quercus aucheri 5" "Quercus aucheri " Quercus                                
FM243825.1 "Quercus brantii 1" "Quercus brantii " Quercus                                
FM243826.1 "Quercus brantii 2" "Quercus brantii " Quercus                                
FM243827.1 "Quercus brantii 3" "Quercus brantii " Quercus                                
AF174631.1 "Quercus buckleyi 1" "Quercus buckleyi " Quercus                                
AF174632.1 "Quercus buckleyi 2" "Quercus buckleyi " Quercus                                
FM243977.1 "Quercus canariensis 1" "Quercus canariensis " Quercus                                
FM243978.1 "Quercus canariensis 2" "Quercus canariensis " Quercus                                
FM243955.1 "Quercus canariensis 3" "Quercus canariensis " Quercus                                
FM243946.1 "Quercus canariensis 4" "Quercus canariensis " Quercus                                
FM243964.1 "Quercus canariensis 5" "Quercus canariensis " Quercus                                
FM243965.1 "Quercus canariensis 6" "Quercus canariensis " Quercus                                
KM586062.1 "Quercus castaneifolia 1" "Quercus castaneifolia " Quercus                                
KM583450.1 "Quercus castaneifolia 2" "Quercus castaneifolia " Quercus                                
KM586066.1 "Quercus castaneifolia 3" "Quercus castaneifolia " Quercus                                
KM586067.1 "Quercus castaneifolia 4 " "Quercus castaneifolia " Quercus                                
KM586065.1 "Quercus castaneifolia 5" "Quercus castaneifolia " Quercus                                
KM586072.1 "Quercus castaneifolia 6" "Quercus castaneifolia " Quercus                                
FM243828.1 "Quercus castaneifolia 7" "Quercus castaneifolia " Quercus                                
FM243829.1 "Quercus castaneifolia 8" "Quercus castaneifolia " Quercus                                
FM243854.1 "Quercus cerris 1" "Quercus cerris " Quercus                                
FM243852.1 "Quercus cerris 2" "Quercus cerris " Quercus                                
FM243849.1 "Quercus cerris 3" "Quercus cerris " Quercus                                
FM243846.1 "Quercus cerris 4" "Quercus cerris " Quercus                                
FM243839.1 "Quercus cerris 5" "Quercus cerris " Quercus                                
FM244300.1 "Quercus coccifera 1" "Quercus coccifera " Quercus                                
FM244311.1 "Quercus coccifera 2" "Quercus coccifera " Quercus                                
FM244318.1 "Quercus coccifera 3" "Quercus coccifera " Quercus                                
FM244326.1 "Quercus coccifera 4" "Quercus coccifera " Quercus                                
FM244335.1 "Quercus coccifera 5" "Quercus coccifera " Quercus                                
FM244306.1 "Quercus coccifera 6" "Quercus coccifera " Quercus                                
KM200960.1 "Quercus crassipes 7" "Quercus crassipes " Quercus                                
FM243982.1 "Quercus dalechampii" "Quercus dalechampii" Quercus                                
KM051445.1 "Quercus dentata" "Quercus dentata" Quercus                                
FM244334.1 "Quercus dilatata" "Quercus dilatata" Quercus                                
FM243984.1 "Quercus faginea 1" "Quercus faginea " Quercus                                
FM243988.1 "Quercus faginea 2" "Quercus faginea " Quercus                                
FM243991.1 "Quercus faginea 3" "Quercus faginea " Quercus                                
FM243993.1 "Quercus faginea 4" "Quercus faginea " Quercus                                
FM244000.1 "Quercus faginea 5" "Quercus faginea " Quercus                                
EU646137.1 "Quercus falcata 1" "Quercus falcata " Quercus                                
EU646150.1 "Quercus falcata 2" "Quercus falcata " Quercus                                
EU646161.1 "Quercus falcata 3" "Quercus falcata " Quercus                                
EU646178.1 "Quercus falcata 4" "Quercus falcata " Quercus                                
EU646166.1 "Quercus falcata 6" "Quercus falcata " Quercus                                
FM244006.1 "Quercus frainetto 1" "Quercus frainetto " Quercus                                
FM244007.1 "Quercus frainetto 2" "Quercus frainetto " Quercus                                
FM244011.1 "Quercus frainetto 3" "Quercus frainetto " Quercus                                
FM244013.1 "Quercus frainetto 4" "Quercus frainetto " Quercus                                
FM244017.1 "Quercus frainetto 5" "Quercus frainetto " Quercus                                
AF176380.1 "Quercus fusiformis 1" "Quercus fusiformis " Quercus                                
AF176406.1 "Quercus fusiformis 2" "Quercus fusiformis " Quercus                                
AF174633.1 "Quercus fusiformis 3" "Quercus fusiformis " Quercus                                
AF174634.1 "Quercus fusiformis 4" "Quercus fusiformis " Quercus                                
JF980332.1 "Quercus gilva" "Quercus gilva" Quercus                                
KM200965.1 "Quercus gravesii" "Quercus gravesii" Quercus                                
KM200966.1 "Quercus grisea" "Quercus grisea" Quercus                                
FM244025.1 "Quercus hartwissiana 1" "Quercus hartwissiana " Quercus                                
FM244028.1 "Quercus hartwissiana 2" "Quercus hartwissiana " Quercus                                
FM244030.1 "Quercus hartwissiana 3" "Quercus hartwissiana " Quercus                                
FM244033.1 "Quercus hartwissiana 4" "Quercus hartwissiana " Quercus                                
