x Genus
Quercus_oblongifolia Quercus
Quercus_pagoda Quercus
Quercus_macranthera_5 Quercus
Quercus_muehlenbergii Quercus
Quercus_multinervis Quercus
Quercus_lobata_3 Quercus
Quercus_petraea_7 Quercus
Quercus_ithaburensis_3 Quercus
Quercus_ithaburensis_4 Quercus
Quercus_ithaburensis_5 Quercus
Quercus_lobata_1 Quercus
Quercus_lobata_2 Quercus
Quercus_michauxii_2 Quercus
Quercus_lobata_4 Quercus
Quercus_palustris Quercus
Quercus_petraea_2 Quercus
Quercus_macranthera_1 Quercus
Quercus_macranthera_2 Quercus
Quercus_macranthera_3 Quercus
Quercus_macranthera_4 Quercus
Quercus_petraea_1 Quercus
Quercus_michauxii_1 Quercus
Quercus_ithaburensis_1 Quercus
Quercus_ithaburensis_2 Quercus
Quercus_infectoria_5 Quercus
Quercus_infectoria_4 Quercus
Quercus_petraea_5 Quercus
Quercus_ilex_12 Quercus
Quercus_ilex_14 Quercus
Quercus_infectoria_1 Quercus
Quercus_infectoria_2 Quercus
Quercus_infectoria_3 Quercus
Quercus_ilex_9 Quercus
Quercus_ilex_10 Quercus
Quercus_ilex_11 Quercus
Quercus_ilex_8 Quercus
Quercus_petraea_8 Quercus
Quercus_lusitanica_2 Quercus
Quercus_petraea_3 Quercus
Quercus_lobata_5 Quercus
Quercus_lusitanica_1 Quercus
Quercus_faginea_3 Quercus
Quercus_ilex_4 Quercus
Quercus_petraea_6 Quercus
Quercus_ilex_5 Quercus
Quercus_ilex_6 Quercus
Quercus_ilex_7 Quercus
Quercus_petraea_4 Quercus
Quercus_frainetto_4 Quercus
Quercus_fusiformis_1 Quercus
Quercus_frainetto_5 Quercus
Quercus_fusiformis_2 Quercus
Quercus_hartwissiana_4 Quercus
Quercus_vulcanica_1 Quercus
Quercus_vulcanica_2 Quercus
Quercus_vulcanica_3 Quercus
Quercus_vulcanica_4 Quercus
Quercus_vulcanica_5 Quercus
Saccharomyces_cerevisiae_2 Saccharomyces
Saccharomyces_cerevisiae_3 Saccharomyces
Saccharomyces_cerevisiae_1 Saccharomyces
Quercus_stellata Quercus
Quercus_suber_1 Quercus
Quercus_trojana_3 Quercus
Quercus_vaseyana Quercus
Quercus_trojana_4 Quercus
Quercus_suber_4 Quercus
Quercus_trojana_5 Quercus
Quercus_suber_5 Quercus
Quercus_suber_2 Quercus
Quercus_suber_3 Quercus
Quercus_trojana_1 Quercus
Quercus_velutina Quercus
Quercus_trojana_2 Quercus
